0.24	79.69	2.99	148.751
0.3	81.7	6.22	144.78
0.31	78.18	4.74	147.74
0.34	83.8	3.66	148.751
0.35	82.7	9.1	157.074
0.36	79.94	3.38	147.74
0.38	81.5	1.9	147.78
0.4	82.04	2.03	147.74
0.43	86.45	3.97	148.751
0.44	82.6	7.8	147.506
0.44	84.81	1.83	147.74
0.48	87.79	2.03	147.74
0.51	90.4	1.9	147.78
0.52	94.35	2.64	147.74
0.56	93.34	2.3	147.74
0.57	87.6	7.8	155.479
0.57	96.8	3.4	149.28
0.59	98.48	3.18	147.74
0.6	87.9	6.1	147.506
0.61	97.3	2.1	147.78
0.64	98.82	2.98	147.74
0.73	97.3	7	148.506
2.3	224	8.6	152.76
2.33	224	8	147.33
2.34	222	8.5	147.4
2.36	226	9.3	147.49
