  030341.04-002321.9         45.92103   -0.38942   3.235    -27.0054    0.0373    -31.3776    0.0386    1       1.875     0.11908   46.423817   0.308447
  030449.85-000813.4         46.20775   -0.13708   3.296    -26.9766    0.01      -31.2377    0.0284    1       1.988     0.29382   45.619236   0.204168
  090508.88+305757.3        136.28702   30.96593   3.034    -26.9725    0.009     -31.1391    0.0241    1       2.12      0.08832   44.985864   0.174085
  094202.04+042244.5        145.50852    4.37902   3.284    -26.8863    0.0038    -31.3222    0.048     1       2.113     0.16149   46.546097   0.330107
  094734.19+142116.9        146.89251   14.35472   3.034    -26.7802    0.0046    -31.2414    0.0274    1       1.885     0.08716   46.447673   0.205458
  101447.18+430030.1        153.6966    43.00841   3.122    -26.5526    0.002     -31.3181    0.0362    1       2.206     0.16027   47.885192   0.277542
  102714.77+354317.4        156.81158   35.72151   3.118    -26.6048    0.014     -31.0714    0.0248    1       1.914     0.07734   46.04478    0.198466
  114308.87+345222.2        175.78702   34.87286   3.166    -26.866     0.008     -31.256     0.0254    1       1.942     0.08161   46.192688   0.191215
  122518.66+483116.3        186.32769   48.52113   3.096    -26.9596    0.0068    -31.103     0.021     1       1.893     0.06427   44.800636   0.153017
  124637.06+262500.2        191.65444   26.41674   3.114    -26.9199    0.0325    -31.4832    0.0341    1       1.999     0.11082   47.470158   0.283754
  124640.37+111302.9        191.66822   11.21748   3.155    -27.1181    0.0178    -31.5465    0.0425    1       2.144     0.14234   47.076143   0.303656
  140747.23+645419.9        211.9467    64.90554   3.101    -26.817     0.0191    -31.277     0.0336    1       2.071     0.11326   46.53176    0.253741
  142656.18+602550.8        216.73407   60.4308    3.197    -26.5082    0.0124    -31.0529    0.0231    1       1.815     0.08435   46.318262   0.193485
  223408.99+000001.6        338.53749    0.00047   3.028    -26.8319    0.0059    -31.2027    0.0274    1       1.858     0.07819   45.980835   0.200585
  PSS1317+3531              199.4297    35.52552   4.34     -28.09978   0.1       -32.03181   0.309     3       2.9       2.15      46.257336   2.078894
